state;action_reward;n_state
135&2|56&3|523&3|133&2|204&2|286&2|48&1|309&2|654&3|508&2|1266&2|272&5;118&2|225&1|257&3|473&1;135&2|56&3|523&3|133&2|204&2|286&2|48&1|309&2|654&3|508&2|1266&2|272&5|118&2|225&1|257&3|473&1
688&1|329&5|259&1|751&4|288&1|332&4|892&3|898&5|327&3|289&3|358&1|748&4;457&1|890&1|313&5|1316&4;688&1|329&5|259&1|751&4|288&1|332&4|892&3|898&5|327&3|289&3|358&1|748&4|457&1|890&1|313&5|1316&4
258&5|322&4|302&5|678&4|323&4|1025&3|879&4|748&3|327&4|328&5|272&5|354&4;898&3|271&4|288&2|752&3;258&5|322&4|302&5|678&4|323&4|1025&3|879&4|748&3|327&4|328&5|272&5|354&4|898&3|271&4|288&2|752&3
257&5|282&4|24&4|815&3|1&5|181&4|127&5|250&3|471&5|1016&4|298&4|117&5;1244&3|254&4|323&3|678&3;257&5|282&4|24&4|815&3|1&5|181&4|127&5|250&3|471&5|1016&4|298&4|117&5|1244&3|254&4|323&3|678&3
197&4|316&4|234&2|216&4|86&5|23&3|301&1|504&3|223&5|880&3|269&5|435&3;124&5|482&4|962&2|137&3;197&4|316&4|234&2|216&4|86&5|23&3|301&1|504&3|223&5|880&3|269&5|435&3|124&5|482&4|962&2|137&3
58&4|1022&4|121&4|751&3|750&4|251&4|269&4|736&5|70&5|100&3|181&4|151&4;50&5|64&5|258&5|1&4;58&4|1022&4|121&4|751&3|750&4|251&4|269&4|736&5|70&5|100&3|181&4|151&4|50&5|64&5|258&5|1&4
180&4|144&5|153&4|715&5|164&3|77&4|502&5|26&5|654&5|708&4|193&5|48&5;230&3|640&1|692&4|155&3;180&4|144&5|153&4|715&5|164&3|77&4|502&5|26&5|654&5|708&4|193&5|48&5|230&3|640&1|692&4|155&3
258&5|262&4|269&4|338&3|300&3|879&2|305&4|340&3|268&4|319&4|327&5|890&4;689&2|343&4|325&1|271&3;258&5|262&4|269&4|338&3|300&3|879&2|305&4|340&3|268&4|319&4|327&5|890&4|689&2|343&4|325&1|271&3
547&5|148&3|405&2|456&1|1011&1|1047&1|117&2|685&3|432&1|825&1|24&4|471&1;588&2|946&1|245&3|1240&5;547&5|148&3|405&2|456&1|1011&1|1047&1|117&2|685&3|432&1|825&1|24&4|471&1|588&2|946&1|245&3|1240&5
797&3|265&4|164&4|405&3|402&3|257&4|879&3|21&3|546&3|591&3|1010&3|180&5;453&1|1019&5|943&4|403&4;797&3|265&4|164&4|405&3|402&3|257&4|879&3|21&3|546&3|591&3|1010&3|180&5|453&1|1019&5|943&4|403&4
225&1|739&4|294&3|216&4|258&3|1090&2|227&4|226&3|375&2|55&4|121&3|176&3;273&4|485&5|230&5|177&5;225&1|739&4|294&3|216&4|258&3|1090&2|227&4|226&3|375&2|55&4|121&3|176&3|273&4|485&5|230&5|177&5
286&2|323&3|259&3|915&2|887&4|316&4|321&5|299&3|308&3|272&4|340&4|513&5;127&4|626&3|683&3|346&4;286&2|323&3|259&3|915&2|887&4|316&4|321&5|299&3|308&3|272&4|340&4|513&5|127&4|626&3|683&3|346&4
116&5|194&5|509&5|140&1|132&4|969&4|495&4|1149&5|214&5|168&5|209&5|173&5;78&1|473&5|151&4|588&4;116&5|194&5|509&5|140&1|132&4|969&4|495&4|1149&5|214&5|168&5|209&5|173&5|78&1|473&5|151&4|588&4
322&2|634&4|433&5|693&3|9&4|82&4|309&1|732&4|12&5|959&3|494&5|193&3;605&4|254&2|239&3|712&4;322&2|634&4|433&5|693&3|9&4|82&4|309&1|732&4|12&5|959&3|494&5|193&3|605&4|254&2|239&3|712&4
288&2|463&4|1197&4|1167&4|181&4|942&4|69&4|159&3|241&4|744&3|518&4|200&5;53&1|898&3|313&4|449&4;288&2|463&4|1197&4|1167&4|181&4|942&4|69&4|159&3|241&4|744&3|518&4|200&5|53&1|898&3|313&4|449&4
125&4|514&5|471&4|137&3|100&4|435&4|56&3|204&4|50&4|323&3|210&4|15&4;181&4|9&3|259&2|248&4;125&4|514&5|471&4|137&3|100&4|435&4|56&3|204&4|50&4|323&3|210&4|15&4|181&4|9&3|259&2|248&4
12&5|121&3|357&5|313&5|269&3|298&4|293&4|176&4|200&4|255&4|65&3|173&4;271&3|762&2|781&3|959&4;12&5|121&3|357&5|313&5|269&3|298&4|293&4|176&4|200&4|255&4|65&3|173&4|271&3|762&2|781&3|959&4
1&3|328&2|315&3|871&2|508&3|298&3|286&3|125&4|293&3|282&4|292&3|591&3;1014&3|181&4|456&1|15&4;1&3|328&2|315&3|871&2|508&3|298&3|286&3|125&4|293&3|282&4|292&3|591&3|1014&3|181&4|456&1|15&4
286&4|754&4|690&3|990&4|275&5|331&2|989&5|300&5|742&4|1&5|740&4|304&5;515&4|713&4|13&2|475&1;286&4|754&4|690&3|990&4|275&5|331&2|989&5|300&5|742&4|1&5|740&4|304&5|515&4|713&4|13&2|475&1
297&3|280&3|676&4|937&4|127&2|455&1|181&5|111&4|938&3|7&1|308&5|748&3;927&4|934&4|411&2|928&1;297&3|280&3|676&4|937&4|127&2|455&1|181&5|111&4|938&3|7&1|308&5|748&3|927&4|934&4|411&2|928&1
99&4|282&3|233&4|127&5|658&5|410&4|478&5|655&4|220&3|535&3|866&4|168&4;284&4|764&3|864&2|219&4;99&4|282&3|233&4|127&5|658&5|410&4|478&5|655&4|220&3|535&3|866&4|168&4|284&4|764&3|864&2|219&4
258&4|751&3|304&4|300&5|690&2|333&3|301&1|748&2|327&2|331&2|294&2|269&3;342&2|271&1|678&3|347&5;258&4|751&3|304&4|300&5|690&2|333&3|301&1|748&2|327&2|331&2|294&2|269&3|342&2|271&1|678&3|347&5
514&4|167&3|168&5|616&4|94&4|1136&5|58&3|212&4|132&5|402&4|214&4|154&4;5&4|53&4|1118&3|1046&4;514&4|167&3|168&5|616&4|94&4|1136&5|58&3|212&4|132&5|402&4|214&4|154&4|5&4|53&4|1118&3|1046&4
300&4|316&5|483&4|739&5|174&5|168&4|748&4|153&4|269&2|79&3|513&4|276&4;88&5|255&3|100&4|66&5;300&4|316&5|483&4|739&5|174&5|168&4|748&4|153&4|269&2|79&3|513&4|276&4|88&5|255&3|100&4|66&5
168&4|200&5|474&5|127&5|31&2|652&4|286&4|69&4|510&5|491&3|213&4|50&4;222&2|546&3|60&5|924&2;168&4|200&5|474&5|127&5|31&2|652&4|286&4|69&4|510&5|491&3|213&4|50&4|222&2|546&3|60&5|924&2
89&4|513&5|851&4|811&4|135&5|276&5|318&3|264&3|324&4|358&2|327&3|1071&3;582&3|121&2|769&1|1153&2;89&4|513&5|851&4|811&4|135&5|276&5|318&3|264&3|324&4|358&2|327&3|1071&3|582&3|121&2|769&1|1153&2
755&4|313&4|347&4|161&3|352&1|100&5|328&3|403&3|1074&3|1078&4|300&4|29&3;715&3|871&3|412&3|689&2;755&4|313&4|347&4|161&3|352&1|100&5|328&3|403&3|1074&3|1078&4|300&4|29&3|715&3|871&3|412&3|689&2
196&3|159&3|469&3|80&2|38&2|236&4|228&3|853&5|284&1|232&3|724&4|665&4;758&1|369&3|1228&1|743&1;196&3|159&3|469&3|80&2|38&2|236&4|228&3|853&5|284&1|232&3|724&4|665&4|758&1|369&3|1228&1|743&1
324&4|310&4|313&4|264&3|301&3|270&5|346&5|302&5|343&2|258&5|325&3|748&3;886&4|11&5|690&4|100&5;324&4|310&4|313&4|264&3|301&3|270&5|346&5|302&5|343&2|258&5|325&3|748&3|886&4|11&5|690&4|100&5
281&2|300&5|258&4|259&2|276&1|1278&3|125&4|472&3|405&4|282&5|988&2|325&1;473&2|744&5|151&5|284&2;281&2|300&5|258&4|259&2|276&1|1278&3|125&4|472&3|405&4|282&5|988&2|325&1|473&2|744&5|151&5|284&2
272&4|1011&1|117&4|893&4|717&4|290&2|405&4|313&5|905&4|363&4|151&2|111&4;871&3|323&2|820&3|826&3;272&4|1011&1|117&4|893&4|717&4|290&2|405&4|313&5|905&4|363&4|151&2|111&4|871&3|323&2|820&3|826&3
1005&2|48&4|198&2|86&4|724&3|87&3|1194&5|1193&4|382&2|311&3|427&4|179&1;487&5|716&1|792&2|483&5;1005&2|48&4|198&2|86&4|724&3|87&3|1194&5|1193&4|382&2|311&3|427&4|179&1|487&5|716&1|792&2|483&5
1280&3|689&2|328&3|877&2|270&3|302&5|288&2|258&3|300&4|294&2|332&3|327&2;323&2|312&2|271&3|343&2;1280&3|689&2|328&3|877&2|270&3|302&5|288&2|258&3|300&4|294&2|332&3|327&2|323&2|312&2|271&3|343&2
50&4|117&3|597&2|118&5|257&3|678&3|7&3|273&5|1089&1|121&3|181&4|685&1;79&5|56&4|89&5|144&5;50&4|117&3|597&2|118&5|257&3|678&3|7&3|273&5|1089&1|121&3|181&4|685&1|79&5|56&4|89&5|144&5
168&3|166&4|948&2|751&4|335&2|890&3|243&3|50&5|358&3|179&4|900&4|988&3;181&5|114&5|268&5|196&5;168&3|166&4|948&2|751&4|335&2|890&3|243&3|50&5|358&3|179&4|900&4|988&3|181&5|114&5|268&5|196&5
416&4|173&5|1050&3|778&4|178&5|174&5|403&4|549&2|1479&3|702&3|99&5|387&4;54&4|509&3|73&4|723&4;416&4|173&5|1050&3|778&4|178&5|174&5|403&4|549&2|1479&3|702&3|99&5|387&4|54&4|509&3|73&4|723&4
292&2|749&2|346&5|887&3|354&1|268&5|355&4|340&3|321&4|322&1|877&1|750&4;1237&4|1679&3|882&4|361&5;292&2|749&2|346&5|887&3|354&1|268&5|355&4|340&3|321&4|322&1|877&1|750&4|1237&4|1679&3|882&4|361&5
294&3|258&5|751&3|750&4|322&2|749&4|328&3|271&5|300&3|286&2|346&3|902&3;245&3|243&3|316&4|355&2;294&3|258&5|751&3|750&4|322&2|749&4|328&3|271&5|300&3|286&2|346&3|902&3|245&3|243&3|316&4|355&2
28&2|150&3|1368&5|762&2|133&4|15&3|8&4|297&3|11&5|1163&3|606&5|246&4;378&4|95&4|523&4|192&4;28&2|150&3|1368&5|762&2|133&4|15&3|8&4|297&3|11&5|1163&3|606&5|246&4|378&4|95&4|523&4|192&4
161&3|324&3|340&4|455&2|636&4|597&1|79&4|68&4|100&4|217&1|825&2|201&3;491&2|204&4|334&4|689&2;161&3|324&3|340&4|455&2|636&4|597&1|79&4|68&4|100&4|217&1|825&2|201&3|491&2|204&4|334&4|689&2
14&4|325&1|348&1|687&1|19&4|898&5|892&3|258&5|283&5|547&3|328&3|259&4;475&5|275&5|24&1|116&5;14&4|325&1|348&1|687&1|19&4|898&5|892&3|258&5|283&5|547&3|328&3|259&4|475&5|275&5|24&1|116&5
273&4|126&4|471&4|235&3|696&4|222&4|111&4|19&4|864&3|286&5|116&3|410&1;96&5|204&5|710&2|1101&4;273&4|126&4|471&4|235&3|696&4|222&4|111&4|19&4|864&3|286&5|116&3|410&1|96&5|204&5|710&2|1101&4
347&4|269&4|302&3|315&4|70&4|286&2|354&2|327&4|306&5|902&5|313&2|539&3;316&5|50&5|259&5|127&4;347&4|269&4|302&3|315&4|70&4|286&2|354&2|327&4|306&5|902&5|313&2|539&3|316&5|50&5|259&5|127&4
315&5|333&3|322&3|299&4|302&5|340&4|328&5|313&4|307&5|286&4|319&3|331&2;678&2|748&3|245&3|1025&1;315&5|333&3|322&3|299&4|302&5|340&4|328&5|313&4|307&5|286&4|319&3|331&2|678&2|748&3|245&3|1025&1
879&3|300&4|872&3|339&3|260&4|271&4|895&3|258&4|294&3|313&5|288&4|328&4;323&4|343&4|348&4|329&4;879&3|300&4|872&3|339&3|260&4|271&4|895&3|258&4|294&3|313&5|288&4|328&4|323&4|343&4|348&4|329&4
69&4|479&5|506&4|419&4|1008&4|22&4|172&5|194&3|763&4|1547&4|922&4|747&4;229&3|101&3|268&5|402&2;69&4|479&5|506&4|419&4|1008&4|22&4|172&5|194&3|763&4|1547&4|922&4|747&4|229&3|101&3|268&5|402&2
874&3|242&5|216&4|1296&5|259&2|170&5|340&5|333&1|269&4|310&1|316&4|880&2;191&4|482&4|1194&4|45&5;874&3|242&5|216&4|1296&5|259&2|170&5|340&5|333&1|269&4|310&1|316&4|880&2|191&4|482&4|1194&4|45&5
22&5|685&5|151&4|284&5|283&4|367&3|286&5|393&5|410&4|301&3|280&5|143&5;845&3|272&5|88&5|241&4;22&5|685&5|151&4|284&5|283&4|367&3|286&5|393&5|410&4|301&3|280&5|143&5|845&3|272&5|88&5|241&4
475&4|100&5|469&5|9&4|14&4|244&1|898&4|248&5|55&5|258&5|289&3|269&5;181&5|238&4|272&5|855&5;475&4|100&5|469&5|9&4|14&4|244&1|898&4|248&5|55&5|258&5|289&3|269&5|181&5|238&4|272&5|855&5
527&4|475&3|181&4|174&4|508&5|258&4|88&2|16&4|813&4|276&5|748&1|294&3;681&2|787&3|1514&2|334&4;527&4|475&3|181&4|174&4|508&5|258&4|88&2|16&4|813&4|276&5|748&1|294&3|681&2|787&3|1514&2|334&4
1020&4|197&5|692&4|519&4|630&3|211&5|434&5|191&5|530&5|605&4|489&4|144&4;72&4|468&4|50&5|216&4;1020&4|197&5|692&4|519&4|630&3|211&5|434&5|191&5|530&5|605&4|489&4|144&4|72&4|468&4|50&5|216&4
132&3|435&4|80&2|11&4|1037&1|12&4|195&4|318&4|523&4|652&3|175&4|410&3;441&2|546&2|399&3|385&3;132&3|435&4|80&2|11&4|1037&1|12&4|195&4|318&4|523&4|652&3|175&4|410&3|441&2|546&2|399&3|385&3
488&5|1454&3|344&4|208&3|304&2|289&3|187&4|222&3|50&5|381&3|58&3|354&4;152&2|211&5|662&3|205&5;488&5|1454&3|344&4|208&3|304&2|289&3|187&4|222&3|50&5|381&3|58&3|354&4|152&2|211&5|662&3|205&5
604&3|124&4|657&4|45&4|194&3|47&3|144&2|174&4|191&4|114&4|69&2|1039&3;964&4|32&2|357&4|64&4;604&3|124&4|657&4|45&4|194&3|47&3|144&2|174&4|191&4|114&4|69&2|1039&3|964&4|32&2|357&4|64&4
100&3|293&3|307&3|301&3|7&4|237&5|895&3|246&4|147&4|273&2|288&3|475&3;257&4|121&2|290&4|1328&4;100&3|293&3|307&3|301&3|7&4|237&5|895&3|246&4|147&4|273&2|288&3|475&3|257&4|121&2|290&4|1328&4
544&3|845&3|109&2|222&3|151&5|1134&5|294&2|324&3|255&3|235&3|181&5|928&3;762&4|1010&4|3&4|547&4;544&3|845&3|109&2|222&3|151&5|1134&5|294&2|324&3|255&3|235&3|181&5|928&3|762&4|1010&4|3&4|547&4
501&3|1512&5|197&4|141&2|188&4|154&4|24&3|705&3|238&4|943&3|25&2|22&3;109&1|229&3|393&2|542&1;501&3|1512&5|197&4|141&2|188&4|154&4|24&3|705&3|238&4|943&3|25&2|22&3|109&1|229&3|393&2|542&1
216&2|278&4|195&4|111&4|255&3|202&3|65&2|204&4|776&5|125&4|172&3|288&4;723&2|1037&5|120&1|1135&4;216&2|278&4|195&4|111&4|255&3|202&3|65&2|204&4|776&5|125&4|172&3|288&4|723&2|1037&5|120&1|1135&4
100&5|332&2|258&3|343&3|50&5|147&4|285&5|886&3|282&3|300&2|127&4|269&5;123&3|273&2|121&2|845&5;100&5|332&2|258&3|343&3|50&5|147&4|285&5|886&3|282&3|300&2|127&4|269&5|123&3|273&2|121&2|845&5
209&3|719&3|1017&3|252&2|418&4|689&4|403&3|948&4|105&3|722&3|91&3|697&2;375&1|1014&4|409&2|1035&4;209&3|719&3|1017&3|252&2|418&4|689&4|403&3|948&4|105&3|722&3|91&3|697&2|375&1|1014&4|409&2|1035&4
742&4|1028&5|117&5|412&2|273&5|222&5|111&5|125&5|24&4|471&5|685&3|274&4;291&4|831&3|1034&2|977&5;742&4|1028&5|117&5|412&2|273&5|222&5|111&5|125&5|24&4|471&5|685&3|274&4|291&4|831&3|1034&2|977&5
177&3|211&5|258&4|900&5|286&4|340&5|268&4|199&4|511&4|180&5|1065&4|527&3;544&5|742&3|276&4|202&5;177&3|211&5|258&4|900&5|286&4|340&5|268&4|199&4|511&4|180&5|1065&4|527&3|544&5|742&3|276&4|202&5
405&4|117&4|316&5|245&4|272&4|307&4|346&3|25&3|347&4|292&5|298&4|148&4;287&2|7&4|282&4|13&2;405&4|117&4|316&5|245&4|272&4|307&4|346&3|25&3|347&4|292&5|298&4|148&4|287&2|7&4|282&4|13&2
15&3|300&3|473&3|750&5|676&2|258&4|93&5|508&4|405&3|117&3|181&4|268&4;118&2|597&3|472&4|826&3;15&3|300&3|473&3|750&5|676&2|258&4|93&5|508&4|405&3|117&3|181&4|268&4|118&2|597&3|472&4|826&3
323&3|258&4|687&3|895&4|271&4|302&3|340&3|538&3|750&2|1399&4|332&3|243&3;286&2|289&1|344&2|690&2;323&3|258&4|687&3|895&4|271&4|302&3|340&3|538&3|750&2|1399&4|332&3|243&3|286&2|289&1|344&2|690&2
79&5|187&5|298&5|281&4|188&4|257&3|96&5|327&3|176&5|300&5|233&4|295&4;1314&3|403&5|231&4|53&2;79&5|187&5|298&5|281&4|188&4|257&3|96&5|327&3|176&5|300&5|233&4|295&4|1314&3|403&5|231&4|53&2
988&1|813&3|948&1|268&5|116&5|323&3|269&5|989&1|7&4|294&1|221&4|243&1;508&4|405&2|1326&3|473&4;988&1|813&3|948&1|268&5|116&5|323&3|269&5|989&1|7&4|294&1|221&4|243&1|508&4|405&2|1326&3|473&4
747&3|250&4|98&5|597&3|213&3|512&5|82&3|88&3|405&4|176&3|230&4|185&4;91&4|530&4|257&3|739&2;747&3|250&4|98&5|597&3|213&3|512&5|82&3|88&3|405&4|176&3|230&4|185&4|91&4|530&4|257&3|739&2
333&4|106&2|323&4|475&5|276&3|292&3|260&2|264&3|100&3|742&3|244&3|281&3;130&3|1009&3|1085&5|1048&1;333&4|106&2|323&4|475&5|276&3|292&3|260&2|264&3|100&3|742&3|244&3|281&3|130&3|1009&3|1085&5|1048&1
135&4|639&4|181&3|105&2|990&3|855&3|178&5|657&5|634&3|742&3|121&2|934&2;568&4|526&4|162&3|433&5;135&4|639&4|181&3|105&2|990&3|855&3|178&5|657&5|634&3|742&3|121&2|934&2|568&4|526&4|162&3|433&5
569&3|581&4|144&4|408&5|208&4|531&5|42&4|44&3|118&2|582&3|476&2|47&4;68&1|729&3|318&5|375&2;569&3|581&4|144&4|408&5|208&4|531&5|42&4|44&3|118&2|582&3|476&2|47&4|68&1|729&3|318&5|375&2
479&4|684&3|243&1|323&2|195&5|754&4|531&5|174&5|180&5|483&5|136&5|432&4;185&4|154&4|56&5|480&5;479&4|684&3|243&1|323&2|195&5|754&4|531&5|174&5|180&5|483&5|136&5|432&4|185&4|154&4|56&5|480&5
689&3|315&4|313&3|1431&3|882&3|539&3|345&3|327&2|302&4|310&4|286&3|311&3;1127&3|752&2|347&4|307&3;689&3|315&4|313&3|1431&3|882&3|539&3|345&3|327&2|302&4|310&4|286&3|311&3|1127&3|752&2|347&4|307&3
95&1|117&2|478&4|467&3|434&3|236&3|990&2|290&2|211&4|340&4|661&4|306&3;527&4|417&2|184&3|90&1;95&1|117&2|478&4|467&3|434&3|236&3|990&2|290&2|211&4|340&4|661&4|306&3|527&4|417&2|184&3|90&1
14&5|708&4|151&5|275&4|181&3|69&2|926&2|117&3|290&2|537&4|86&4|11&3;122&1|100&5|248&4|127&5;14&5|708&4|151&5|275&4|181&3|69&2|926&2|117&3|290&2|537&4|86&4|11&3|122&1|100&5|248&4|127&5
270&4|332&3|301&3|338&2|322&3|688&2|245&4|268&2|326&2|300&3|328&3|306&3;269&4|302&4|888&1|311&2;270&4|332&3|301&3|338&2|322&3|688&2|245&4|268&2|326&2|300&3|328&3|306&3|269&4|302&4|888&1|311&2
560&3|20&1|795&3|768&3|419&5|94&4|1047&3|63&5|322&4|73&5|243&2|465&4;509&4|180&2|451&4|69&5;560&3|20&1|795&3|768&3|419&5|94&4|1047&3|63&5|322&4|73&5|243&2|465&4|509&4|180&2|451&4|69&5
423&5|676&5|65&3|378&5|77&5|135&4|87&5|661&4|427&5|239&5|237&4|511&4;238&3|202&4|63&2|88&4;423&5|676&5|65&3|378&5|77&5|135&4|87&5|661&4|427&5|239&5|237&4|511&4|238&3|202&4|63&2|88&4
269&3|751&3|895&2|691&2|286&5|347&3|260&3|243&2|259&3|690&3|748&4|750&5;312&5|350&4|22&5|538&4;269&3|751&3|895&2|691&2|286&5|347&3|260&3|243&2|259&3|690&3|748&4|750&5|312&5|350&4|22&5|538&4
455&2|195&4|257&4|977&5|300&5|286&3|1028&2|156&5|471&4|290&3|246&4|174&4;233&5|173&2|943&4|85&5;455&2|195&4|257&4|977&5|300&5|286&3|1028&2|156&5|471&4|290&3|246&4|174&4|233&5|173&2|943&4|85&5
890&3|69&5|323&4|298&3|762&4|150&5|235&2|151&3|100&5|71&5|252&4|328&4;82&5|59&5|12&3|134&3;890&3|69&5|323&4|298&3|762&4|150&5|235&2|151&3|100&5|71&5|252&4|328&4|82&5|59&5|12&3|134&3
1021&3|60&3|45&3|171&3|86&2|919&3|475&4|510&4|462&4|179&3|170&2|283&3;198&4|529&4|531&3|582&3;1021&3|60&3|45&3|171&3|86&2|919&3|475&4|510&4|462&4|179&3|170&2|283&3|198&4|529&4|531&3|582&3
50&5|25&3|15&5|450&2|227&5|229&3|515&5|371&4|222&5|449&4|125&4|1016&4;879&3|67&4|831&1|636&4;50&5|25&3|15&5|450&2|227&5|229&3|515&5|371&4|222&5|449&4|125&4|1016&4|879&3|67&4|831&1|636&4
742&3|265&4|12&5|471&3|187&4|95&3|474&5|529&4|410&3|238&3|4&4|647&3;936&4|568&3|702&2|397&3;742&3|265&4|12&5|471&3|187&4|95&3|474&5|529&4|410&3|238&3|4&4|647&3|936&4|568&3|702&2|397&3
292&5|319&4|898&5|690&4|313&4|258&4|304&5|904&5|269&4|751&2|286&5|305&4;345&4|301&5|270&3|339&5;292&5|319&4|898&5|690&4|313&4|258&4|304&5|904&5|269&4|751&2|286&5|305&4|345&4|301&5|270&3|339&5
310&4|331&2|258&5|272&5|917&3|340&4|269&3|288&5|313&4|302&4|682&5|914&5;271&1|346&3|895&5|690&1;310&4|331&2|258&5|272&5|917&3|340&4|269&3|288&5|313&4|302&4|682&5|914&5|271&1|346&3|895&5|690&1
365&2|226&2|644&4|174&3|447&1|179&5|712&1|849&1|778&5|380&2|450&2|187&3;920&2|831&2|203&2|100&1;365&2|226&2|644&4|174&3|447&1|179&5|712&1|849&1|778&5|380&2|450&2|187&3|920&2|831&2|203&2|100&1
476&3|248&2|12&5|147&3|50&5|660&5|181&3|313&5|3&3|116&4|109&3|431&4;568&4|66&4|785&4|81&2;476&3|248&2|12&5|147&3|50&5|660&5|181&3|313&5|3&3|116&4|109&3|431&4|568&4|66&4|785&4|81&2
145&1|194&5|423&4|657&4|428&4|501&4|427&4|172&5|603&3|118&4|280&3|31&3;175&2|132&5|749&2|97&4;145&1|194&5|423&4|657&4|428&4|501&4|427&4|172&5|603&3|118&4|280&3|31&3|175&2|132&5|749&2|97&4
319&3|311&4|1258&2|475&4|52&4|59&5|303&3|297&3|473&3|753&5|692&4|343&3;209&3|792&4|1214&2|916&3;319&3|311&4|1258&2|475&4|52&4|59&5|303&3|297&3|473&3|753&5|692&4|343&3|209&3|792&4|1214&2|916&3
1107&4|1152&3|301&4|39&5|724&3|23&5|227&2|127&5|796&3|12&3|965&4|79&4;493&4|515&4|1184&3|1129&2;1107&4|1152&3|301&4|39&5|724&3|23&5|227&2|127&5|796&3|12&3|965&4|79&4|493&4|515&4|1184&3|1129&2
476&4|147&4|937&5|696&4|255&5|167&3|216&5|371&5|1074&4|386&1|582&4|98&5;709&4|388&1|369&1|1230&1;476&4|147&4|937&5|696&4|255&5|167&3|216&5|371&5|1074&4|386&1|582&4|98&5|709&4|388&1|369&1|1230&1
633&5|654&4|514&4|19&4|133&5|1194&5|124&3|83&4|116&3|479&4|175&3|496&4;521&2|1028&2|32&3|428&4;633&5|654&4|514&4|19&4|133&5|1194&5|124&3|83&4|116&3|479&4|175&3|496&4|521&2|1028&2|32&3|428&4
690&5|748&5|338&2|308&1|271&5|682&3|294&3|331&3|310&4|288&4|333&3|289&3;938&2|989&2|342&1|259&3;690&5|748&5|338&2|308&1|271&5|682&3|294&3|331&3|310&4|288&4|333&3|289&3|938&2|989&2|342&1|259&3
845&4|9&4|280&5|300&4|220&4|619&4|100&4|245&5|50&5|15&4|282&5|252&4;118&4|476&5|21&2|866&5;845&4|9&4|280&5|300&4|220&4|619&4|100&4|245&5|50&5|15&4|282&5|252&4|118&4|476&5|21&2|866&5
129&4|1011&3|473&2|274&4|282&4|9&4|100&4|93&4|284&4|147&4|1008&3|591&4;286&5|255&4|258&4|221&4;129&4|1011&3|473&2|274&4|282&4|9&4|100&4|93&4|284&4|147&4|1008&3|591&4|286&5|255&4|258&4|221&4
496&5|508&3|183&5|44&1|671&3|530&5|423&3|1126&2|170&2|434&5|403&3|520&5;219&2|72&2|200&2|1118&2;496&5|508&3|183&5|44&1|671&3|530&5|423&3|1126&2|170&2|434&5|403&3|520&5|219&2|72&2|200&2|1118&2
23&3|284&2|483&4|1&3|182&4|127&5|136&3|50&4|22&5|174&3|31&2|423&4;135&5|209&3|134&4|433&2;23&3|284&2|483&4|1&3|182&4|127&5|136&3|50&4|22&5|174&3|31&2|423&4|135&5|209&3|134&4|433&2
984&5|299&3|881&3|323&3|294&3|288&3|258&3|687&3|328&3|876&3|326&5|300&5;348&3|304&4|259&3|749&5;984&5|299&3|881&3|323&3|294&3|288&3|258&3|687&3|328&3|876&3|326&5|300&5|348&3|304&4|259&3|749&5
729&4|465&1|771&1|193&4|553&1|94&5|49&1|582&3|37&1|1484&1|660&2|1422&1;1560&1|171&1|1265&2|1576&1;729&4|465&1|771&1|193&4|553&1|94&5|49&1|582&3|37&1|1484&1|660&2|1422&1|1560&1|171&1|1265&2|1576&1
343&3|289&2|328&1|245&2|309&2|690&3|680&1|319&2|310&1|301&2|326&4|879&1;181&4|50&5|266&1|687&1;343&3|289&2|328&1|245&2|309&2|690&3|680&1|319&2|310&1|301&2|326&4|879&1|181&4|50&5|266&1|687&1
294&4|323&3|187&5|258&4|306&2|79&5|679&1|33&2|431&3|895&3|271&2|228&4;1222&3|373&1|92&1|449&5;294&4|323&3|187&5|258&4|306&2|79&5|679&1|33&2|431&3|895&3|271&2|228&4|1222&3|373&1|92&1|449&5
245&3|258&4|307&2|272&5|689&4|678&2|873&3|895&3|346&3|302&5|323&4|289&4;879&4|322&4|260&3|316&4;245&3|258&4|307&2|272&5|689&4|678&2|873&3|895&3|346&3|302&5|323&4|289&4|879&4|322&4|260&3|316&4
367&4|394&4|778&3|1011&4|596&4|154&3|568&3|202&4|272&4|310&3|239&4|56&4;291&3|472&2|274&4|734&1;367&4|394&4|778&3|1011&4|596&4|154&3|568&3|202&4|272&4|310&3|239&4|56&4|291&3|472&2|274&4|734&1
488&3|284&4|293&4|302&5|346&5|655&5|227&4|316&5|517&4|83&3|44&3|216&4;212&4|86&4|1421&4|609&4;488&3|284&4|293&4|302&5|346&5|655&5|227&4|316&5|517&4|83&3|44&3|216&4|212&4|86&4|1421&4|609&4
319&2|317&4|683&3|629&3|209&4|116&2|205&3|568&3|651&4|1167&4|474&3|289&3;521&4|873&3|879&3|708&3;319&2|317&4|683&3|629&3|209&4|116&2|205&3|568&3|651&4|1167&4|474&3|289&3|521&4|873&3|879&3|708&3
188&3|96&4|183&4|431&4|554&3|636&3|449&2|450&1|210&4|550&5|515&4|174&5;202&3|153&3|211&4|410&4;188&3|96&4|183&4|431&4|554&3|636&3|449&2|450&1|210&4|550&5|515&4|174&5|202&3|153&3|211&4|410&4
